Store,Date,Sales
1,01-01-2013,0
1,02-01-2013,5530
1,03-01-2013,4327
1,04-01-2013,4486
1,05-01-2013,4997
1,06-01-2013,0
1,07-01-2013,7176
1,08-01-2013,5580
1,09-01-2013,5471
1,10-01-2013,4892
1,11-01-2013,4881
1,12-01-2013,4952
1,13-01-2013,0
1,14-01-2013,4717
1,15-01-2013,3900
1,16-01-2013,4008
1,17-01-2013,4044
1,18-01-2013,4127
1,19-01-2013,5182
1,20-01-2013,0
1,21-01-2013,5394
1,22-01-2013,5720
1,23-01-2013,5578
1,24-01-2013,5195
1,25-01-2013,5586
1,26-01-2013,5598
1,27-01-2013,0
1,28-01-2013,4055
1,29-01-2013,3725
1,30-01-2013,4601
1,31-01-2013,4709
1,01-02-2013,5633
1,02-02-2013,5970
1,03-02-2013,0
1,04-02-2013,7032
1,05-02-2013,6049
1,06-02-2013,6140
1,07-02-2013,5499
1,08-02-2013,5681
1,09-02-2013,5370
1,10-02-2013,0
1,11-02-2013,4409
1,12-02-2013,4015
1,13-02-2013,4252
1,14-02-2013,4241
1,15-02-2013,4809
1,16-02-2013,6154
1,17-02-2013,0
1,18-02-2013,6407
1,19-02-2013,5386
1,20-02-2013,5660
1,21-02-2013,5261
1,22-02-2013,5000
1,23-02-2013,5237
1,24-02-2013,0
1,25-02-2013,4038
1,26-02-2013,3794
1,27-02-2013,4558
1,28-02-2013,4676
1,01-03-2013,4611
1,02-03-2013,5350
1,03-03-2013,0
1,04-03-2013,7675
1,05-03-2013,6300
1,06-03-2013,5973
1,07-03-2013,5637
1,08-03-2013,5853
1,09-03-2013,5578
1,10-03-2013,0
1,11-03-2013,4949
1,12-03-2013,3853
1,13-03-2013,4341
1,14-03-2013,5108
1,15-03-2013,4925
1,16-03-2013,5003
1,17-03-2013,0
1,18-03-2013,7072
1,19-03-2013,6563
1,20-03-2013,5598
1,21-03-2013,5179
1,22-03-2013,5506
1,23-03-2013,5603
1,24-03-2013,0
1,25-03-2013,6729
1,26-03-2013,6686
1,27-03-2013,6660
1,28-03-2013,7285
1,29-03-2013,0
1,30-03-2013,7132
1,31-03-2013,0
1,01-04-2013,0
1,02-04-2013,5484
1,03-04-2013,4625
1,04-04-2013,4293
1,05-04-2013,4390
1,06-04-2013,5075
1,07-04-2013,0
1,08-04-2013,6046
1,09-04-2013,5514
1,10-04-2013,4903
1,11-04-2013,4366
1,12-04-2013,5263
1,13-04-2013,4773
1,14-04-2013,0
1,15-04-2013,3941
1,16-04-2013,3357
1,17-04-2013,3649
1,18-04-2013,2952
1,19-04-2013,4303
1,20-04-2013,4350
1,21-04-2013,0
1,22-04-2013,5672
1,23-04-2013,4492
1,24-04-2013,4309
1,25-04-2013,3939
1,26-04-2013,4841
1,27-04-2013,5726
1,28-04-2013,0
1,29-04-2013,5821
1,30-04-2013,5925
1,01-05-2013,0
1,02-05-2013,6486
1,03-05-2013,6027
1,04-05-2013,5912
1,05-05-2013,0
1,06-05-2013,4568
1,07-05-2013,4624
1,08-05-2013,5230
1,09-05-2013,0
1,10-05-2013,5409
1,11-05-2013,5064
1,12-05-2013,0
1,13-05-2013,6106
1,14-05-2013,5083
1,15-05-2013,4790
1,16-05-2013,4448
1,17-05-2013,4856
1,18-05-2013,4413
1,19-05-2013,0
1,20-05-2013,0
1,21-05-2013,4789
1,22-05-2013,3559
1,23-05-2013,4030
1,24-05-2013,4232
1,25-05-2013,4408
1,26-05-2013,0
1,27-05-2013,5519
